Target Name,Target Email,Name,Email,Role
Dietrich,dietrich@cyberworldbuilders.dev,Frost,frost@cyberworldbuilders.dev,subordinate
Dietrich,dietrich@cyberworldbuilders.dev,Hicks,hicks@cyberworldbuilders.dev,peer
Dietrich,dietrich@cyberworldbuilders.dev,Hudson,hudson@cyberworldbuilders.dev,subordinate
Dietrich,dietrich@cyberworldbuilders.dev,Dietrich,dietrich@cyberworldbuilders.dev,self
Vasquez,vasquez@cyberworldbuilders.dev,Drake,drake@cyberworldbuilders.dev,peer
Vasquez,vasquez@cyberworldbuilders.dev,Ferro,ferro@cyberworldbuilders.dev,subordinate
Vasquez,vasquez@cyberworldbuilders.dev,Spunkmeyer,spunkmeyer@cyberworldbuilders.dev,subordinate
Vasquez,vasquez@cyberworldbuilders.dev,Vasquez,vasquez@cyberworldbuilders.dev,self
Crowe,crowe@cyberworldbuilders.dev,Wierzbowski,wierzbowski@cyberworldbuilders.dev,peer
Crowe,crowe@cyberworldbuilders.dev,Crowe,crowe@cyberworldbuilders.dev,self
